Name 	Type 	Cat. 	PP 	Att. 	Acc. 	Effect
Acid Armor 			40 	-- 	-- 	The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.
Acupressure 			30 	-- 	-- 	The user applies pressure to stress points, sharply boosting one of its stats.
Agility 			30 	-- 	-- 	The user relaxes and lightens its body to move faster. It sharply boosts the Speed stat.
Amnesia 			20 	-- 	-- 	The user temporarily empties its mind to forget its concerns. It sharply raises the user's Sp. Def stat.
Aqua Ring 			20 	-- 	-- 	The user envelops itself in a veil made of water. It regains some HP on every turn.
Aromatherapy 			5 	-- 	-- 	The user releases a soothing scent that heals all status problems affecting the user's party.
Assist 			20 	-- 	-- 	The user hurriedly and randomly uses a move among those known by other Pokémon in the party.
Attract 			15 	-- 	100 	If it is the opposite gender of the user, the foe becomes infatuated and less likely to attack.
Barrier 			30 	-- 	-- 	The user throws up a sturdy wall that sharply raises its Defense stat.
Baton Pass 			40 	-- 	-- 	The user switches places with a party Pokémon in waiting, passing along any stat changes.
Belly Drum 			10 	-- 	-- 	The user maximizes its Attack stat in exchange for HP equal to half its max HP.
Block 			5 	-- 	-- 	The user blocks the foe's way with arms spread wide to prevent escape.
Bulk Up 			20 	-- 	-- 	The user tenses its muscles to bulk up its body, boosting both its Attack and Defense stats.
Calm Mind 			20 	-- 	-- 	The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
Camouflage 			20 	-- 	-- 	The user's type is changed depending on its environment, such as at water's edge, in grass, or in a cave.
Captivate 			20 	-- 	100 	If it is the opposite gender of the user, the foe is charmed into sharply lowering its Sp. Atk stat.
Charge 			20 	-- 	-- 	The user boosts the power of the Electric move it uses next. It also raises the user's Sp. Def stat.
Charm 			20 	-- 	100 	The user charmingly stares at the foe, making it less wary. The target's Attack is sharply lowered.
Confuse Ray 			10 	-- 	100 	The foe is exposed to a sinister ray that triggers confusion.
Conversion 			30 	-- 	-- 	The user changes its type to become the same type as one of its moves.
Conversion 2 			30 	-- 	-- 	The user changes its type to make itself resistant to the type of the attack it last took.
Copycat 			20 	-- 	-- 	The user mimics the move used immediately before it. The move fails if no other move has been used yet.
Cosmic Power 			20 	-- 	-- 	The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.
Cotton Spore 			40 	-- 	85 	The user releases cottonlike spores that cling to the foe, sharply reducing its Speed stat.
Curse 			10 	-- 	-- 	A move that works differently for the Ghost type than for all the other types.
Dark Void 			10 	-- 	80 	The foe is dragged into a world of total darkness that puts it to sleep.
Defend Order 			10 	-- 	-- 	The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats.
Defense Curl 			40 	-- 	-- 	The user curls up to conceal weak spots and raise its Defense stat.
Defog 			15 	-- 	-- 	It reduces the foe's evasion stat. It also removes spikes, light screens, etc.
Destiny Bond 			5 	-- 	-- 	When this move is used, if the user faints, the foe that landed the knockout hit also faints.
Detect 			5 	-- 	-- 	It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
Disable 			20 	-- 	80 	For several turns, this move prevents the foe from using the move it last used.
Double Team 			15 	-- 	-- 	By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.
Dragon Dance 			20 	-- 	-- 	The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats.
Embargo 			15 	-- 	100 	It prevents the foe from using its held item. Its Trainer is also prevented from using items on it.
Encore 			5 	-- 	100 	The user compels the foe to keep using only the move it last used for three to seven turns.
Endure 			10 	-- 	-- 	The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.
Fake Tears 			20 	-- 	100 	The user feigns crying to make the foe feel flustered, sharply lowering its Sp. Def stat.
Featherdance 			15 	-- 	100 	The user covers the foe with a mass of down that sharply lowers the Attack stat.
Flash 			20 	-- 	100 	The user flashes a light that cuts the foe's accuracy. It can also be used to illuminate caves.
Flatter 			15 	-- 	100 	Flattery is used to confuse the foe. However, it also raises the target's Sp. Atk stat.
Focus Energy 			30 	-- 	-- 	The user takes a deep breath and focuses to raise the critical-hit ratio of its attacks.
Follow Me 			20 	-- 	-- 	The user draws attention to itself, making all foes take aim only at the user.
Foresight 			40 	-- 	-- 	Enables the user to hit a Ghost type with any type of move. It also enables the user to hit an evasive foe.
Gastro Acid 			10 	-- 	100 	The user hurls up its stomach acids on the foe. The fluid eliminates the effect of the foe's ability.
Glare 			30 	-- 	75 	The user intimidates the foe with the pattern on its belly to cause paralysis.
Grasswhistle 			15 	-- 	55 	The user plays a pleasant melody that lulls the foe into a deep sleep.
Gravity 			5 	-- 	-- 	Gravity is intensified for five turns, making moves involving flying unusable and negating Levitation.
Growl 			40 	-- 	100 	The user growls in an endearing way, making the foe less wary. The target's Attack stat is lowered.
Growth 			40 	-- 	-- 	The user's body is forced to grow all at once. It raises the Sp. Atk stat.
Grudge 			5 	-- 	-- 	If the user faints, the user's grudge fully depletes the PP of the foe's move that knocked it out.
Guard Swap 			10 	-- 	-- 	The user employs its psychic power to switch changes to its Defense and Sp. Def with the foe.
Hail 			10 	-- 	-- 	The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.
Harden 			30 	-- 	-- 	The user stiffens all the muscles in its body to raise its Defense stat.
Haze 			30 	-- 	-- 	The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
Heal Bell 			5 	-- 	-- 	The user makes a soothing bell chime to heal the status problems of all the party Pokémon.
Heal Block 			15 	-- 	100 	The user prevents the foe from using any HP-recovery moves for five turns.
Heal Order 			10 	-- 	-- 	The user calls out its underlings to heal it. The user regains up to half of its max HP.
Healing Wish 			10 	-- 	-- 	The user faints. In return, the Pokémon taking its place will have its HP restored and status cured.
Heart Swap 			10 	-- 	-- 	The user employs its psychic power to switch stat changes with the foe.
Helping Hand 			20 	-- 	-- 	A move that boosts the power of the ally's attack in a Double Battle.
Howl 			40 	-- 	-- 	The user howls loudly to raise its spirit, boosting its Attack stat.
Hypnosis 			20 	-- 	70 	The user employs hypnotic suggestion to make the target fall into a deep sleep.
Imprison 			10 	-- 	-- 	If the foe knows any move also known by the user, the foe is prevented from using it.
Ingrain 			20 	-- 	-- 	The user lays roots that restore HP on every turn. Because it is rooted, it can't switch out.
Iron Defense 			15 	-- 	-- 	The user hardens its body's surface like iron, sharply raising its Defense stat.
Kinesis 			15 	-- 	80 	The user distracts the foe by bending a spoon. It may lower the target's accuracy.
Leech Seed 			10 	-- 	90 	A seed is planted on the foe. It steals some HP from the foe to heal the user on every turn.
Leer 			30 	-- 	100 	The foe is given an intimidating leer with sharp eyes. The target's Defense stat is reduced.
Light Screen 			30 	-- 	-- 	A wondrous wall of light is put up to suppress damage from special attacks for five turns.
Lock-on 			5 	-- 	-- 	The user takes sure aim at the foe. It ensures the next attack does not fail to hit the target.
Lovely Kiss 			10 	-- 	75 	With a scary face, the user tries to force a kiss on the foe. If it succeeds, the target falls asleep.
Lucky Chant 			30 	-- 	-- 	The user chants an incantation toward the sky, preventing the foe from landing critical hits.
Lunar Dance 			10 	-- 	-- 	The user faints. In return, the Pokémon taking its place will have its status and HP fully restored.
Magic Coat 			15 	-- 	-- 	A barrier reflects back to the foe moves like Leech Seed and moves that damage status.
Magnet Rise 			10 	-- 	-- 	The user levitates using electrically generated magnetism for five turns.
Me First 			20 	-- 	-- 	The user tries to cut ahead of the foe to steal and use the foe's intended move with greater power.
Mean Look 			5 	-- 	-- 	The user affixes the foe with a dark, arresting look. The target becomes unable to flee.
Meditate 			40 	-- 	-- 	The user meditates to awaken the power deep within its body and raise its Attack stat.
Memento 			10 	-- 	100 	The user faints upon using this move. In return, it sharply lowers the target's Attack and Sp. Atk.
Metal Sound 			40 	-- 	85 	A horrible sound like scraping metal is emitted to sharply reduce the foe's Sp. Def stat.
Metronome 			10 	-- 	-- 	The user waggles a finger and stimulates the brain into randomly using nearly any move.
Milk Drink 			10 	-- 	-- 	The user restores its own HP by up to half of its maximum HP. It may also be used to heal an ally's HP.
Mimic 			10 	-- 	-- 	The user copies the move last used by the foe. The move can be used for the rest of the battle.
Mind Reader 			5 	-- 	-- 	The user senses the foe's movements with its mind to ensure its next attack does not miss.
Minimize 			20 	-- 	-- 	The user compresses its body to make itself look smaller. The user's evasion stat is boosted.
Miracle Eye 			40 	-- 	-- 	Enables the user to hit a Dark type with any type of move. It also enables the user to hit an evasive foe.
Mirror Move 			20 	-- 	-- 	The user counters the foe by mimicking the move last used by the foe.
Mist 			30 	-- 	-- 	The user cloaks its body with a white mist that prevents any of its stats from being cut for five turns.
Moonlight 			5 	-- 	-- 	The user restores its own HP. The amount of HP regained varies with the weather.
Morning Sun 			5 	-- 	-- 	The user restores its own HP. The amount of HP regained varies with the weather.
Mud Sport 			15 	-- 	-- 	The user covers itself with mud. It weakens Electric- type moves while the user is in the battle.
Nasty Plot 			20 	-- 	-- 	The user stimulates its brain by thinking bad thoughts. It sharply raises the user's Sp. Atk.
Nature Power 			20 	-- 	-- 	An attack that makes use of nature's power. Its effects vary depending on the user's environment.
Nightmare 			15 	-- 	100 	A sleeping foe is shown a nightmare that inflicts some damage every turn.
Odor Sleuth 			40 	-- 	-- 	Enables the user to hit a Ghost type with any type of move. It also enables the user to hit an evasive foe.
Pain Split 			20 	-- 	-- 	The user adds its HP to the foe's HP, then equally shares the combined HP with the foe.
Perish Song 			5 	-- 	-- 	Any Pokémon that hears this song faints in three turns, unless it switches out of battle.
Poison Gas 			40 	-- 	55 	A cloud of poison gas is sprayed in the foe's face. It may poison the target.
Poisonpowder 			35 	-- 	75 	A cloud of poisonous dust is scattered on the foe. It may poison the target.
Power Swap 			10 	-- 	-- 	The user employs its psychic power to switch changes to its Attack and Sp. Atk with the foe.
Power Trick 			10 	-- 	-- 	The user employs its psychic power to switch its Attack with its Defense stat.
Protect 			10 	-- 	-- 	It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
Psych Up 			10 	-- 	-- 	The user hypnotizes itself into copying any stat change made by the foe.
Psycho Shift 			10 	-- 	90 	Using its psychic power of suggestion, the user transfers its status problems to the target.
Rain Dance 			5 	-- 	-- 	The user summons a heavy rain that falls for five turns, powering up Water- type moves.
Recover 			10 	-- 	-- 	A self-healing move. The user restores its own HP by up to half of its max HP.
Recycle 			10 	-- 	-- 	The user recycles a held item that has been used in battle so it can be used again.
Reflect 			20 	-- 	-- 	A wondrous wall of light is put up to suppress damage from physical attacks for five turns.
Refresh 			20 	-- 	-- 	The user rests to cure itself of a poisoning, burn, or paralysis.
Rest 			10 	-- 	-- 	The user goes to sleep for two turns. It fully restores the user's HP and heals any status problem.
Roar 			20 	-- 	100 	The foe is scared off, to be replaced by another Pokémon in its party. In the wild, the battle ends.
Rock Polish 			20 	-- 	-- 	The user polishes its body to reduce drag. It can sharply raise the Speed stat.
Role Play 			10 	-- 	-- 	The user mimics the foe completely, copying the foe's natural ability.
Roost 			10 	-- 	-- 	The user lands and rests its body. It restores the user's HP by up to half of its max HP.
Safeguard 			25 	-- 	-- 	The user creates a protective field that prevents status problems for five turns.
Sand-attack 			15 	-- 	100 	Sand is hurled in the foe's face, reducing its accuracy.
Sandstorm 			10 	-- 	-- 	A five-turn sand- storm is summoned to hurt all combatant types except Rock, Ground, and Steel.
Scary Face 			10 	-- 	90 	The user frightens the foe with a scary face to sharply reduce its Speed stat.
Screech 			40 	-- 	85 	An earsplitting screech is emitted to sharply reduce the foe's Defense stat.
Sharpen 			30 	-- 	-- 	The user reduces its polygon count to make itself more jagged, raising the Attack stat.
Sing 			15 	-- 	55 	A soothing lullaby is sung in a calming voice that puts the foe into a deep slumber.
Sketch 			1 	-- 	-- 	It enables the user to permanently learn the move last used by the foe. Once used, Sketch disappears.
Skill Swap 			10 	-- 	-- 	The user employs its psychic power to exchange abilities with the foe.
Slack Off 			10 	-- 	-- 	The user slacks off, restoring its own HP by up to half of its maximum HP.
Sleep Powder 			15 	-- 	75 	The user scatters a big cloud of sleep- inducing dust around the foe.
Sleep Talk 			10 	-- 	-- 	While it is asleep, the user randomly uses one of the moves it knows.
Smokescreen 			20 	-- 	100 	The user releases an obscuring cloud of smoke or ink. It reduces the foe's accuracy.
Snatch 			10 	-- 	-- 	The user steals the effects of any healing or stat- changing move the foe attempts to use.
Softboiled 			10 	-- 	-- 	The user restores its own HP by up to half of its maximum HP. It may also be used to heal an ally's HP.
Spider Web 			10 	-- 	-- 	The user ensnares the foe with a thin, gooey silk so it can't flee from battle.
Spikes 			20 	-- 	-- 	The user lays a trap of spikes at the foe's feet. The trap hurts foes that switch into battle.
Spite 			10 	-- 	100 	The user looses its grudge on the move last used by the foe by cutting 4 PP from it.
Splash 			40 	-- 	-- 	The user just flops and splashes around to no effect at all...
Spore 			15 	-- 	100 	The user scatters bursts of spores that induce sleep.
Stealth Rock 			20 	-- 	-- 	The user lays a trap of levitating stones around the foe. The trap hurts foes that switch into battle.
Stockpile 			20 	-- 	-- 	The user charges up power, and raises both its Defense and Sp. Def. The move can be used three times.
String Shot 			40 	-- 	95 	The foe is bound with silk blown from the user's mouth. It reduces the target's Speed stat.
Stun Spore 			30 	-- 	75 	The user scatters a cloud of paralyzing powder. It may paralyze the target.
Substitute 			10 	-- 	-- 	The user makes a copy of itself using some of its HP. The copy serves as the user's decoy.
Sunny Day 			5 	-- 	-- 	The user intensifies the sun for five turns, powering up Fire-type moves.
Supersonic 			20 	-- 	55 	The user generates odd sound waves from its body. It may confuse the target.
Swagger 			15 	-- 	90 	The user enrages the foe into confusion. However, it also sharply raises the foe's Attack stat.
Swallow 			10 	-- 	-- 	The power stored using the move Stockpile is absorbed by the user to heal its HP.
Sweet Kiss 			10 	-- 	75 	The user kisses the foe with a sweet, angelic cuteness that causes confusion.
Sweet Scent 			20 	-- 	100 	A sweet scent that lowers the foe's evasiveness. It also lures wild Pokémon if used in grass, etc.
Switcheroo 			10 	-- 	100 	The user trades held items with the foe faster than the eye can follow.
Swords Dance 			30 	-- 	-- 	A frenetic dance to uplift the fighting spirit. It sharply raises the user's Attack stat.
Synthesis 			5 	-- 	-- 	The user restores its own HP. The amount of HP regained varies with the weather.
Tail Glow 			20 	-- 	-- 	The user stares at flashing lights to focus its mind, sharply raising its Sp. Atk stat.
Tail Whip 			30 	-- 	100 	The user wags its tail cutely, making the foe less wary. The target's Defense stat is lowered.
Tailwind 			30 	-- 	-- 	The user whips up a turbulent whirlwind that ups the Speed of all party Pokémon for three turns.
Taunt 			20 	-- 	100 	The foe is taunted into a rage that allows it to use only attack moves for two to four turns.
Teeter Dance 			20 	-- 	100 	The user performs a wobbly dance that confuses all the Pokémon in battle.
Teleport 			20 	-- 	-- 	Use it to flee from any wild Pokémon. It can also warp to the last Pokémon Center visited.
Thunder Wave 			20 	-- 	100 	A weak electric charge is launched at the foe. It causes paralysis if it hits.
Tickle 			20 	-- 	100 	The user tickles the foe into laughing, reducing its Attack and Defense stats.
Torment 			15 	-- 	100 	The user torments and enrages the foe, making it incapable of using the same move twice in a row.
Toxic 			10 	-- 	85 	A move that leaves the target badly poisoned. Its poison damage worsens every turn.
Toxic Spikes 			20 	-- 	-- 	The user lays a trap of poison spikes at the foe's feet. They poison foes that switch into battle.
Transform 			10 	-- 	-- 	The user transforms into a copy of the foe right down to having the same move set.
Trick 			10 	-- 	100 	The user catches the foe off guard and swaps the foe's held item with its own.
Trick Room 			5 	-- 	-- 	The user creates a bizarre area in which slower Pokémon get to move first for five turns.
Water Sport 			15 	-- 	-- 	The user soaks itself with water. The move weakens Fire-type moves while the user is in the battle.
Whirlwind 			20 	-- 	100 	The foe is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends.
Will-o-wisp 			15 	-- 	75 	The user shoots a sinister, bluish white flame at the foe to inflict a burn.
Wish 			10 	-- 	-- 	A self-healing move. The user restores its own HP by up to half of its maximum HP in the next turn.
Withdraw 			40 	-- 	-- 	The user withdraws its body into its hard shell, raising its Defense stat.
Worry Seed 			10 	-- 	100 	A seed that causes worry is planted on the foe. It prevents sleep by making its ability Insomnia.
Yawn 			10 	-- 	-- 	The user lets loose a huge yawn that lulls the foe into falling asleep on the next turn. 
